#iteration,algo,#panel,#suggestion,distances,iteration_time,total_time,target_found,#generations,panel,si,ni
0,NewPanel,1,0,7.0/5.5/5.5/3.5/3.5/3.5/5.5/7.0/5.5/5.5/7.0/5.5,0.12320566177368164,0.12320566177368164,None,1,[0 0 1 1 1 1 0 1 1 1 1 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1.]
1,MAB,1,1,7.0/5.5/5.5/5.5/5.5/5.5/5.5/7.0/5.5/5.5/7.0/5.5,0.007757663726806641,0.13096332550048828,None,0,[0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1.]
2,MAB,1,2,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006447315216064453,0.13741064071655273,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1.]
3,MAB,1,3,2.5/3.0/3.0/3.0/3.0/3.0/3.0/2.5/3.0/3.0/2.5/3.0,0.006475925445556641,0.14388656616210938,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1.]
4,MAB,1,4,2.75/3.25/2.75/3.25/3.25/2.75/3.25/2.75/2.75/3.25/2.75/3.25,0.006560325622558594,0.15044689178466797,None,0,[1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1.]
5,MAB,1,5,3.0/3.5/3.0/3.5/3.5/3.0/3.5/3.0/3.0/3.5/3.0/3.5,0.006442546844482422,0.1568894386291504,None,0,[0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 1. 1.]
6,MAB,1,6,3.25/3.75/3.25/3.75/3.75/3.25/3.75/3.25/3.25/3.75/3.25/3.75,0.006578922271728516,0.1634683609008789,None,0,[0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 1.]
7,MAB,1,7,3.0/4.0/3.5/4.0/4.0/3.5/4.0/3.0/3.5/4.0/3.0/4.0,0.006735801696777344,0.17020416259765625,None,0,[0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 2. 2. 2.]
8,MAB,1,8,3.0/4.0/3.5/4.0/4.0/3.5/4.0/3.0/3.5/4.0/3.0/4.0,0.00676417350769043,0.17696833610534668,None,0,[0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 2. 2. 2. 2.]
9,MAB,1,9,4.0/4.0/4.0/4.0/4.0/4.0/4.0/4.0/4.0/4.0/4.0/4.0,0.0067596435546875,0.18372797966003418,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 3. 2. 2. 2. 2. 2.]
10,MAB,1,10,3.75/3.75/3.75/3.75/3.75/3.75/3.75/3.75/3.75/3.75/3.75/3.75,0.006632089614868164,0.19036006927490234,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 3. 3. 2. 2. 2. 2.]
11,MAB,1,11,3.5/3.5/3.5/3.5/3.5/3.5/3.5/3.5/3.5/3.5/3.5/3.5,0.006505727767944336,0.19686579704284668,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 3. 3. 3. 2. 2. 2.]
12,MAB,1,12,3.25/3.25/3.25/3.25/3.25/3.25/3.25/3.25/3.25/3.25/3.25/3.25,0.006581306457519531,0.2034471035003662,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 3. 3. 3. 3. 2. 2.]
13,MAB,1,13,3.0/3.0/3.0/3.0/3.0/3.0/3.0/3.0/3.0/3.0/3.0/3.0,0.0065038204193115234,0.20995092391967773,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 3. 3. 3. 3. 3. 2.]
14,MAB,1,14,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006375312805175781,0.21632623672485352,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[3. 3. 3. 3. 3. 3. 3.]
15,MAB,1,15,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.00638127326965332,0.22270750999450684,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 3. 3. 3. 3. 3. 3.]
16,MAB,1,16,4.0/2.5/4.0/4.0/2.5/4.0/4.0/4.0/4.0/4.0/4.0/2.5,0.006705760955810547,0.22941327095031738,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 4. 3. 3. 3. 3. 3.]
17,MAB,1,17,3.75/2.75/3.75/3.75/2.75/3.75/3.75/3.75/3.75/3.75/3.75/2.75,0.0066375732421875,0.23605084419250488,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 4. 4. 3. 3. 3. 3.]
18,MAB,1,18,3.5/3.0/3.5/3.5/3.0/3.5/3.5/3.5/3.5/3.5/3.5/3.0,0.006528615951538086,0.24257946014404297,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 4. 4. 4. 3. 3. 3.]
19,MAB,1,19,3.25/2.75/3.25/3.25/2.75/3.25/3.25/3.25/3.25/3.25/3.25/2.75,0.006577968597412109,0.24915742874145508,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 4. 4. 4. 4. 3. 3.]
20,MAB,1,20,3.0/2.5/3.0/3.0/2.5/3.0/3.0/3.0/3.0/3.0/3.0/2.5,0.00650477409362793,0.255662202835083,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 4. 4. 4. 4. 4. 3.]
21,MAB,1,21,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006386995315551758,0.26204919815063477,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 1. 1. 1. 1. 1. 1.],[4. 4. 4. 4. 4. 4. 4.]
22,MAB,1,23,2.75/2.75/2.75/0.75/0.75/0.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006372690200805664,0.26842188835144043,3,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 1. 1. 1. 1. 1. 1.],[5. 4. 4. 4. 4. 4. 4.]
23,NewPanel,2,0,7.0/5.5/7.0/5.5/7.0/5.5/7.0/7.0/3.5/5.0/3.5,0.062471628189086914,0.33089351654052734,None,1,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[2. 1. 1. 1. 1. 1. 1.],[5. 4. 4. 4. 4. 4. 4.]
24,MAB,2,1,7.0/5.5/7.0/3.5/5.0/5.5/7.0/7.0/5.5/7.0/5.5,0.007744789123535156,0.3386383056640625,None,0,[0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[2. 1. 1. 1. 1. 1. 1.],[6. 4. 4. 4. 4. 4. 4.]
25,MAB,2,2,7.0/5.5/7.0/5.5/7.0/5.5/7.0/7.0/5.5/7.0/5.5,0.007707834243774414,0.3463461399078369,None,0,[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[2. 1. 1. 1. 1. 1. 1.],[7. 4. 4. 4. 4. 4. 4.]
26,MAB,2,3,7.0/5.5/7.0/5.5/7.0/5.5/7.0/7.0/3.5/5.0/3.5,0.007802248001098633,0.35414838790893555,None,0,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[2. 1. 1. 1. 1. 1. 1.],[8. 4. 4. 4. 4. 4. 4.]
27,MAB,2,4,7.0/5.5/7.0/3.5/5.0/5.5/7.0/7.0/5.5/7.0/5.5,0.007796525955200195,0.36194491386413574,None,0,[0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[2. 1. 1. 1. 1. 1. 1.],[9. 4. 4. 4. 4. 4. 4.]
28,MAB,2,6,2.75/2.75/2.75/0.75/0.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006396293640136719,0.36834120750427246,4,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 1.],[9. 5. 4. 4. 4. 4. 4.]
29,NewPanel,3,0,7.0/5.5/7.0/7.0/5.5/7.0/7.0/3.5/5.0/3.5,0.0629281997680664,0.43126940727233887,None,2,[0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 1.],[9. 5. 4. 4. 4. 4. 4.]
30,MAB,3,1,2.5/4.0/4.0/4.0/4.0/2.5/4.0/2.0/0.5/2.0,0.006778717041015625,0.4380481243133545,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 1.],[9. 6. 4. 4. 4. 4. 4.]
31,MAB,3,2,4.0/4.0/4.0/4.0/4.0/4.0/4.0/2.0/2.0/2.0,0.006707906723022461,0.44475603103637695,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],[2. 2. 1. 1. 1. 1. 1.],[9. 7. 4. 4. 4. 4. 4.]
32,MAB,3,3,4.0/4.0/4.0/4.0/4.0/4.0/4.0/2.0/2.0/2.0,0.006691694259643555,0.4514477252960205,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 1.],[9. 8. 4. 4. 4. 4. 4.]
33,MAB,3,4,4.0/4.0/4.0/4.0/4.0/4.0/4.0/2.0/2.0/2.0,0.006822347640991211,0.4582700729370117,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1],[2. 2. 1. 1. 1. 1. 1.],[9. 9. 4. 4. 4. 4. 4.]
34,MAB,3,5,3.75/3.75/3.75/3.75/3.75/3.75/3.75/1.75/1.75/1.75,0.006629467010498047,0.46489953994750977,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],[2. 2. 1. 1. 1. 1. 1.],[9. 9. 5. 4. 4. 4. 4.]
35,MAB,3,6,3.5/3.5/3.5/3.5/3.5/3.5/3.5/1.5/1.5/1.5,0.006481647491455078,0.47138118743896484,None,0,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[2. 2. 1. 1. 1. 1. 1.],[9. 9. 5. 5. 4. 4. 4.]
36,MAB,3,7,3.25/3.25/3.25/3.25/3.25/3.25/3.25/1.25/1.25/1.25,0.006589412689208984,0.47797060012817383,None,0,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[2. 2. 1. 1. 1. 1. 1.],[9. 9. 5. 5. 5. 4. 4.]
37,MAB,3,8,3.0/3.0/3.0/3.0/3.0/3.0/3.0/1.0/1.0/1.0,0.006474018096923828,0.48444461822509766,None,0,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[2. 2. 1. 1. 1. 1. 1.],[9. 9. 5. 5. 5. 5. 4.]
38,MAB,3,10,2.75/2.75/2.75/2.75/2.75/2.75/2.75/0.75/0.75/0.75,0.006351947784423828,0.4907965660095215,9,0,[1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[9. 9. 5. 5. 5. 5. 5.]
39,NewPanel,4,0,5.0/3.5/5.0/7.0/7.0/7.0/7.0/7.0/5.5,0.06162714958190918,0.5524237155914307,None,1,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1],[2. 2. 1. 1. 1. 1. 2.],[9. 9. 5. 5. 5. 5. 5.]
40,MAB,4,1,4.75/3.75/4.75/6.75/6.75/6.75/6.75/6.75/5.75,0.007704973220825195,0.5601286888122559,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1],[2. 2. 1. 1. 1. 1. 2.],[9. 9. 5. 5. 5. 5. 6.]
41,MAB,4,2,4.5/3.5/4.5/6.5/6.5/6.5/6.5/6.5/5.5,0.007592678070068359,0.5677213668823242,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1],[2. 2. 1. 1. 1. 1. 2.],[9. 9. 5. 5. 5. 5. 7.]
42,MAB,4,3,4.25/3.25/4.25/6.25/6.25/6.25/6.25/6.25/5.25,0.0074808597564697266,0.575202226638794,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0],[2. 2. 1. 1. 1. 1. 2.],[9. 9. 5. 5. 5. 5. 8.]
43,MAB,4,4,4.0/3.0/4.0/6.0/6.0/6.0/6.0/6.0/5.0,0.007380247116088867,0.5825824737548828,None,0,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0],[2. 2. 1. 1. 1. 1. 2.],[9. 9. 5. 5. 5. 5. 9.]
44,MAB,4,5,6.0/5.0/6.0/6.0/6.0/6.0/6.0/6.0/5.0,0.007428407669067383,0.5900108814239502,None,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0],[2. 2. 1. 1. 1. 1. 2.],[10.  9.  5.  5.  5.  5.  9.]
45,MAB,4,6,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006359577178955078,0.5963704586029053,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[10. 10.  5.  5.  5.  5.  9.]
46,MAB,4,7,3.0/2.5/3.0/3.0/3.0/3.0/3.0/3.0/2.5,0.00644683837890625,0.6028172969818115,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[10. 10.  5.  5.  5.  5. 10.]
47,MAB,4,8,3.0/2.5/3.0/1.0/3.0/3.0/3.0/3.0/2.5,0.006545066833496094,0.6093623638153076,None,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[11. 10.  5.  5.  5.  5. 10.]
48,MAB,4,9,4.0/4.0/2.5/0.5/4.0/4.0/2.5/4.0/4.0,0.006688356399536133,0.6160507202148438,None,0,[0 0 0 0 0 0 0 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[11. 11.  5.  5.  5.  5. 10.]
49,MAB,4,10,3.75/3.75/2.75/0.75/3.75/3.75/2.75/3.75/3.75,0.006547451019287109,0.6225981712341309,None,0,[0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[11. 11.  6.  5.  5.  5. 10.]
50,MAB,4,11,3.5/3.5/3.0/1.0/3.5/3.5/3.0/3.5/3.5,0.006459712982177734,0.6290578842163086,None,0,[0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[11. 11.  6.  6.  5.  5. 10.]
51,MAB,4,12,3.25/3.25/2.75/0.75/3.25/3.25/2.75/3.25/3.25,0.0065419673919677734,0.6355998516082764,None,0,[1 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 1. 2.],[11. 11.  6.  6.  6.  5. 10.]
52,MAB,4,14,3.0/3.0/2.5/0.5/3.0/3.0/2.5/3.0/3.0,0.006510496139526367,0.6421103477478027,5,0,[1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6.  6. 10.]
53,NewPanel,5,0,5.0/3.5/3.5/7.0/7.0/5.5/7.0/5.5,0.06283760070800781,0.7049479484558105,None,2,[0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6.  6. 10.]
54,MAB,5,1,4.75/3.25/3.25/6.75/6.75/5.25/6.75/5.25,0.007633686065673828,0.7125816345214844,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 1],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6.  7. 10.]
55,MAB,5,2,4.5/3.0/3.0/6.5/6.5/5.0/6.5/5.0,0.009138822555541992,0.7217204570770264,None,0,[0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6.  8. 10.]
56,MAB,5,3,4.25/2.75/2.75/6.25/6.25/4.75/6.25/4.75,0.007678508758544922,0.7293989658355713,None,0,[0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6.  9. 10.]
57,MAB,5,4,4.0/2.5/2.5/6.0/6.0/4.5/6.0/4.5,0.0075953006744384766,0.7369942665100098,None,0,[0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6. 10. 10.]
58,MAB,5,5,4.25/2.75/2.75/6.25/6.25/4.75/6.25/4.75,0.007559061050415039,0.7445533275604248,None,0,[0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 1],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6. 11. 10.]
59,MAB,5,6,4.0/2.5/2.5/6.0/6.0/4.5/6.0/4.5,0.0074388980865478516,0.7519922256469727,None,0,[0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0],[2. 2. 1. 1. 1. 2. 2.],[11. 11.  6.  6.  6. 11. 11.]
60,MAB,5,7,6.0/4.5/4.5/6.0/6.0/4.5/6.0/4.5,0.00751805305480957,0.7595102787017822,None,0,[0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0],[2. 2. 1. 1. 1. 2. 2.],[12. 11.  6.  6.  6. 11. 11.]
61,MAB,5,8,4.0/4.0/4.0/2.5/4.0/4.0/4.0/4.0,0.006716728210449219,0.7662270069122314,None,0,[0 0 1 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[12. 12.  6.  6.  6. 11. 11.]
62,MAB,5,9,3.75/3.75/3.75/2.25/3.75/3.75/3.75/3.75,0.00657200813293457,0.772799015045166,None,0,[0 0 1 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[12. 12.  6.  6.  6. 12. 11.]
63,MAB,5,10,3.5/3.5/3.5/2.5/3.5/3.5/3.5/3.5,0.006520509719848633,0.7793195247650146,None,0,[0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[12. 12.  6.  6.  6. 12. 12.]
64,MAB,5,11,3.5/3.5/3.5/2.5/3.5/3.5/3.5/3.5,0.006474733352661133,0.7857942581176758,None,0,[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 12.  6.  6.  6. 12. 12.]
65,MAB,5,12,4.0/4.0/2.5/4.0/4.0/2.5/4.0/4.0,0.0066907405853271484,0.7924849987030029,None,0,[0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 13.  6.  6.  6. 12. 12.]
66,MAB,5,13,3.75/3.75/2.75/3.75/3.75/2.75/3.75/3.75,0.006582021713256836,0.7990670204162598,None,0,[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 13.  7.  6.  6. 12. 12.]
67,MAB,5,14,3.5/3.5/3.0/3.5/3.5/3.0/3.5/3.5,0.0064983367919921875,0.805565357208252,None,0,[0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 13.  7.  7.  6. 12. 12.]
68,MAB,5,15,3.25/3.25/2.75/3.25/3.25/2.75/3.25/3.25,0.0065538883209228516,0.8121192455291748,None,0,[1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 13.  7.  7.  7. 12. 12.]
69,MAB,5,16,3.0/3.0/2.5/3.0/3.0/2.5/3.0/3.0,0.006500720977783203,0.818619966506958,None,0,[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 13.  7.  7.  7. 13. 12.]
70,MAB,5,17,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.006374359130859375,0.8249943256378174,None,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[13. 13.  7.  7.  7. 13. 13.]
71,MAB,5,18,2.75/2.75/2.75/2.75/2.75/2.75/2.75/2.75,0.0063593387603759766,0.8313536643981934,None,0,[1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[2. 2. 1. 1. 1. 2. 2.],[14. 13.  7.  7.  7. 13. 13.]
